UTF8±àÂë±í´óÈ«
Code  code# Code      (coded in UTF-8)

C8D0  5203  E5 88 83  ÈÐ
B7D6  5206  E5 88 86  ·Ö
C7D0  5207  E5 88 87  ÇÐ
D8D7  5208  E5 88 88  Ø×
BFAF  520A  E5 88 8A  ¿¯
DBBB  520D  E5 88 8D  Û»
D8D8  520E  E5 88 8E  ØØ
D0CC  5211  E5 88 91  ÐÌ
BBAE  5212  E5 88 92  »®
EBBE  5216  E5 88 96  ë¾
C1D0  5217  E5 88 97  ÁÐ
C1F5  5218  E5 88 98  Áõ
D4F2  5219  E5 88 99  Ôò
B8D5  521A  E5 88 9A  ¸Õ
B4B4  521B  E5 88 9B  ´´
B3F5  521D  E5 88 9D  ³õ
C9BE  5220  E5 88 A0  É¾
C5D0  5224  E5 88 A4  ÅÐ
C5D9  5228  E5 88 A8  ÅÙ
C0FB  5229  E5 88 A9  Àû
B1F0  522B  E5 88 AB  ±ð
D8D9  522D  E5 88 AD  ØÙ
B9CE  522E  E5 88 AE  ¹Î
B5BD  5230  E5 88 B0  µ½
D8DA  5233  E5 88 B3  ØÚ
D6C6  5236  E5 88 B6  ÖÆ
CBA2  5237  E5 88 B7  Ë¢
C8AF  5238  E5 88 B8  È¯
C9B2  5239  E5 88 B9  É²
B4CC  523A  E5 88 BA  ´Ì
BFCC  523B  E5 88 BB  ¿Ì
B9F4  523D  E5 88 BD  ¹ô
D8DB  523F  E5 88 BF  ØÛ
D8DC  5240  E5 89 80  ØÜ
B6E7  5241  E5 89 81  ¶ç
BCC1  5242  E5 89 82  ¼Á
CCEA  5243  E5 89 83  Ìê
CFF7  524A  E5 89 8A  Ï÷
D8DD  524C  E5 89 8C  ØÝ
C7B0  524D  E5 89 8D  Ç°
B9D0  5250  E5 89 90  ¹Ð
BDA3  5251  E5 89 91  ½£
CCDE  5254  E5 89 94  ÌÞ
C6CA  5256  E5 89 96  ÆÊ
D8E0  525C  E5 89 9C  Øà
D8DE  525E  E5 89 9E  ØÞ
D8DF  5261  E5 89 A1  Øß
B0FE  5265  E5 89 A5  °þ
BEE7  5267  E5 89 A7  ¾ç
CAA3  5269  E5 89 A9  Ê£
BCF4  526A  E5 89 AA  ¼ô
B8B1  526F  E5 89 AF  ¸±
B8EE  5272  E5 89 B2  ¸î
D8E2  527D  E5 89 BD  Øâ
BDCB  527F  E5 89 BF  ½Ë
D8E4  5281  E5 8A 81  Øä
D8E3  5282  E5 8A 82  Øã
C5FC  5288  E5 8A 88  Åü
D8E5  5290  E5 8A 90  Øå
D8E6  5293  E5 8A 93  Øæ
C1A6  529B  E5 8A 9B  Á¦
C8B0  529D  E5 8A 9D  È°
B0EC  529E  E5 8A 9E  °ì
B9A6  529F  E5 8A 9F  ¹¦
BCD3  52A0  E5 8A A0  ¼Ó
CEF1  52A1  E5 8A A1  Îñ
DBBD  52A2  E5 8A A2  Û½
C1D3  52A3  E5 8A A3  ÁÓ
B6AF  52A8  E5 8A A8  ¶¯
D6FA  52A9  E5 8A A9  Öú
C5AC  52AA  E5 8A AA  Å¬
BDD9  52AB  E5 8A AB  ½Ù
DBBE  52AC  E5 8A AC  Û¾
DBBF  52AD  E5 8A AD  Û¿
C0F8  52B1  E5 8A B1  Àø
BEA2  52B2  E5 8A B2  ¾¢
C0CD  52B3  E5 8A B3  ÀÍ
DBC0  52BE  E5 8A BE  ÛÀ
CAC6  52BF  E5 8A BF  ÊÆ
B2AA  52C3  E5 8B 83  ²ª
D3C2  52C7  E5 8B 87  ÓÂ
C3E3  52C9  E5 8B 89  Ãã
D1AB  52CB  E5 8B 8B  Ñ«
DBC2  52D0  E5 8B 90  ÛÂ
C0D5  52D2  E5 8B 92  ÀÕ
DBC3  52D6  E5 8B 96  ÛÃ
BFB1  52D8  E5 8B 98  ¿±
C4BC  52DF  E5 8B 9F  Ä¼
C7DA  52E4  E5 8B A4  ÇÚ
DBC4  52F0  E5 8B B0  ÛÄ
D9E8  52F9  E5 8B B9  Ùè
C9D7  52FA  E5 8B BA  É×
B9B4  52FE  E5 8B BE  ¹´
CEF0  52FF  E5 8B BF  Îð
D4C8  5300  E5 8C 80  ÔÈ
B0FC  5305  E5 8C 85  °ü
B4D2  5306  E5 8C 86  ´Ò
D0D9  5308  E5 8C 88  ÐÙ
D9E9  530D  E5 8C 8D  Ùé
DECB  530F  E5 8C 8F  ÞË
D9EB  5310  E5 8C 90  Ùë
D8B0  5315  E5 8C 95  Ø°
BBAF  5316  E5 8C 96  »¯
B1B1  5317  E5 8C 97  ±±
B3D7  5319  E5 8C 99  ³×
D8CE  531A  E5 8C 9A  ØÎ
D4D1  531D  E5 8C 9D  ÔÑ
BDB3  5320  E5 8C A0  ½³
BFEF  5321  E5 8C A1  ¿ï
CFBB  5323  E5 8C A3  Ï»
D8D0  5326  E5 8C A6  ØÐ
B7CB  532A  E5 8C AA  ·Ë
D8D1  532E  E5 8C AE  ØÑ
C6A5  5339  E5 8C B9  Æ¥
C7F8  533A  E5 8C BA  Çø
D2BD  533B  E5 8C BB  Ò½
D8D2  533E  E5 8C BE  ØÒ
C4E4  533F  E5 8C BF  Ää
CAAE  5341  E5 8D 81  Ê®
C7A7  5343  E5 8D 83  Ç§
D8A6  5345  E5 8D 85  Ø¦
C9FD  5347  E5 8D 87  Éý
CEE7  5348  E5 8D 88  Îç
BBDC  5349  E5 8D 89  »Ü
B0EB  534A  E5 8D 8A  °ë
BBAA  534E  E5 8D 8E  »ª
D0AD  534F  E5 8D 8F  Ð­
B1B0  5351  E5 8D 91  ±°
D7E4  5352  E5 8D 92  ×ä
D7BF  5353  E5 8D 93  ×¿
B5A5  5355  E5 8D 95  µ¥
C2F4  5356  E5 8D 96  Âô
C4CF  5357  E5 8D 97  ÄÏ
B2A9  535A  E5 8D 9A  ²©
B2B7  535C  E5 8D 9C  ²·
B1E5  535E  E5 8D 9E  ±å
DFB2  535F  E5 8D 9F  ß²
D5BC  5360  E5 8D A0  Õ¼
BFA8  5361  E5 8D A1  ¿¨
C2AC  5362  E5 8D A2  Â¬
D8D5  5363  E5 8D A3  ØÕ
C2B1  5364  E5 8D A4  Â±
D8D4  5366  E5 8D A6  ØÔ
CED4  5367  E5 8D A7  ÎÔ
DAE0  5369  E5 8D A9  Úà
CEC0  536B  E5 8D AB  ÎÀ
D8B4  536E  E5 8D AE  Ø´
C3AE  536F  E5 8D AF  Ã®
